127.0.0.1 - - [13/May/2024:20:07:41 +0000] "GET /sales/ HTTP/1.1" 304 - "http://localhost:3000/stock" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:07:47 +0000] "GET /auth/logout/ HTTP/1.1" 304 - "http://localhost:3000/stock" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:08:00 +0000] "POST /auth/login/ HTTP/1.1" 200 1306 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:08:00 +0000] "GET /sales/ HTTP/1.1" 304 - "http://localhost:3000/stock" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:08:00 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:15:48 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:15:48 +0000] "GET /firms/ HTTP/1.1" 200 644 "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:15:48 +0000] "GET /products/ HTTP/1.1" 200 644 "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:15:48 +0000] "GET /brands/ HTTP/1.1" 200 644 "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:13 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:13 +0000] "GET /sales/ HTTP/1.1" 304 - "http://localhost:3000/stock/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /products/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /firms/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /sales/ HTTP/1.1" 304 - "http://localhost:3000/stock/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /brands/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /products/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /firms/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /brands/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /sales/ HTTP/1.1" 304 - "http://localhost:3000/stock/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:15 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:16 +0000] "GET /products/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:16 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:16 +0000] "GET /brands/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:16 +0000] "GET /firms/ HTTP/1.1" 304 - "http://localhost:3000/stock/purchases/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:16 +0000] "GET /sales/ HTTP/1.1" 304 - "http://localhost:3000/stock/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
127.0.0.1 - - [13/May/2024:20:16:16 +0000] "GET /purchases/ HTTP/1.1" 304 - "http://localhost:3000/stock/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
